truck_id,unit_number,make,model_year,vin,acquisition_date,acquisition_mileage,fuel_type,tank_capacity_gallons,status,home_terminal
TRK00001,3463,Peterbilt,2016,1VV205190335317039,27/04/2017,18814,Diesel,200,Active,Omaha
TRK00002,6461,Kenworth,2015,1NV753749606229960,04/10/2018,26795,Diesel,150,Active,Seattle
TRK00003,2335,Peterbilt,2018,1NT803101860493229,17/09/2020,11795,Diesel,150,Maintenance,Atlanta
TRK00004,3317,Freightliner,2015,1VV131945381692351,17/06/2017,8875,Diesel,200,Active,Salt Lake City
TRK00005,6731,Freightliner,2016,1FT822215709701985,08/10/2021,42042,Diesel,250,Maintenance,Miami
TRK00006,6082,Kenworth,2017,1VV963516965177788,12/05/2018,47794,Diesel,150,Active,Minneapolis
TRK00007,7421,Volvo,2019,1MV134100489809236,29/01/2020,42328,Diesel,200,Active,Charlotte
TRK00008,3112,Mack,2015,1MV426140684859204,27/01/2015,27548,Diesel,150,Active,Houston
TRK00009,2388,International,2015,1VU871233565012431,04/11/2016,24540,Diesel,250,Active,Denver
TRK00010,6072,Volvo,2015,1MU182160377362421,11/12/2017,25066,Diesel,200,Active,Columbus
TRK00011,7171,Freightliner,2015,1FT567947164925037,06/01/2021,29395,Diesel,200,Active,Portland
TRK00012,6381,Freightliner,2015,1MU483021764762154,08/02/2017,24739,Diesel,250,Active,Las Vegas
TRK00013,3093,Volvo,2018,1NU908806171429154,25/10/2020,24618,Diesel,250,Active,Phoenix
TRK00014,9624,International,2015,1VV247228896414388,11/04/2019,5259,Diesel,150,Active,Nashville
TRK00015,2531,International,2015,1VV219552826957760,12/02/2017,44743,Diesel,200,Active,Memphis
TRK00016,7937,Freightliner,2015,1VT237947763097353,26/05/2015,43371,Diesel,150,Active,Nashville
TRK00017,9331,Mack,2017,1VU258614207044782,06/07/2017,35343,Diesel,200,Maintenance,Portland
TRK00018,6928,International,2015,1FT570778303307847,16/02/2016,8715,Diesel,150,Active,Dallas
TRK00019,1298,International,2015,1NT468662011712903,13/02/2021,42830,Diesel,200,Active,Omaha
TRK00020,6940,Kenworth,2015,1VT279404061535276,25/07/2017,22791,Diesel,250,Active,Kansas City
TRK00021,6060,Mack,2018,1MV661551799038494,11/07/2018,7774,Diesel,150,Inactive,Detroit
TRK00022,3953,Kenworth,2017,1VU201382802563540,13/03/2018,11696,Diesel,200,Inactive,Houston
TRK00023,4509,Peterbilt,2015,1MV342228599481462,09/07/2019,35209,Diesel,200,Active,Milwaukee
TRK00024,6598,Volvo,2015,1VT416775529985868,08/04/2018,25759,Diesel,150,Active,Dallas
TRK00025,8967,Freightliner,2018,1MV857192659408369,13/02/2020,34658,Diesel,250,Active,Dallas
TRK00026,4145,International,2021,1MU109206419984555,23/02/2021,8345,Diesel,250,Active,Miami
TRK00027,4711,Peterbilt,2015,1FU919098643889893,12/04/2016,47700,Diesel,150,Maintenance,New York
TRK00028,3253,Kenworth,2015,1VU150939883819521,21/09/2020,14594,Diesel,150,Maintenance,Portland
TRK00029,3538,International,2016,1MT732548052826703,20/01/2016,227,Diesel,200,Active,Milwaukee
TRK00030,2264,Volvo,2015,1NU424938126853269,14/04/2016,49556,Diesel,200,Active,Salt Lake City
TRK00031,5846,Kenworth,2018,1FU607053119824892,30/10/2019,1489,Diesel,250,Active,New York
TRK00032,2657,Mack,2015,1VV787975078730489,31/01/2018,19553,Diesel,250,Maintenance,Oklahoma City
TRK00033,9317,Mack,2015,1FT208855839098628,24/01/2018,30343,Diesel,250,Active,Portland
TRK00034,9843,Freightliner,2015,1MU728063113988930,07/05/2020,44138,Diesel,150,Maintenance,Seattle
TRK00035,9626,International,2015,1VT778313629938960,10/05/2019,47126,Diesel,150,Active,Denver
TRK00036,1618,Peterbilt,2020,1MV151007204500818,06/11/2020,35680,Diesel,150,Active,Los Angeles
TRK00037,6517,Freightliner,2018,1FT474970889663627,12/05/2020,27795,Diesel,250,Maintenance,Dallas
TRK00038,3147,International,2015,1MV267690370888657,18/02/2019,34860,Diesel,250,Active,Atlanta
TRK00039,7172,International,2015,1NU790256784273010,16/10/2019,24856,Diesel,250,Active,Detroit
TRK00040,3527,International,2015,1VT932401669552606,22/01/2020,15051,Diesel,250,Active,Minneapolis
TRK00041,3658,International,2015,1VV671184850440720,01/04/2015,16220,Diesel,150,Active,Denver
TRK00042,3962,International,2019,1MV437535307599343,15/04/2020,30187,Diesel,200,Maintenance,Omaha
TRK00043,3712,Freightliner,2019,1MT472942182331015,27/02/2021,22685,Diesel,150,Active,Miami
TRK00044,8170,Volvo,2015,1FU446413094240484,07/01/2020,10166,Diesel,200,Active,Los Angeles
TRK00045,1715,Volvo,2015,1FV398961826922119,18/06/2016,18064,Diesel,200,Active,New York
TRK00046,7731,Freightliner,2015,1NV756988482935978,19/10/2016,12352,Diesel,150,Inactive,Dallas
TRK00047,6968,Mack,2015,1MT808220883834648,06/09/2015,47515,Diesel,150,Maintenance,Phoenix
TRK00048,4891,Volvo,2015,1MT866431853044978,04/07/2015,7395,Diesel,150,Active,Las Vegas
TRK00049,8277,Peterbilt,2015,1NT223732426577573,20/12/2016,2111,Diesel,250,Active,Minneapolis
TRK00050,5668,Peterbilt,2015,1NT453185644930902,03/09/2015,43266,Diesel,150,Active,Columbus
TRK00051,8355,Mack,2016,1MT877433803899130,19/05/2018,27475,Diesel,250,Active,Columbus
TRK00052,4833,Freightliner,2015,1NU972541941349939,17/06/2018,40299,Diesel,200,Active,Indianapolis
TRK00053,9749,Peterbilt,2015,1MV170122760242723,23/04/2020,1025,Diesel,150,Active,Las Vegas
TRK00054,4918,Freightliner,2016,1NV731502816958608,26/01/2017,15772,Diesel,250,Active,Los Angeles
TRK00055,6070,Peterbilt,2017,1VV691633799611733,28/03/2021,13505,Diesel,250,Active,Atlanta
TRK00056,8684,Kenworth,2015,1MU294987034236724,29/09/2016,4409,Diesel,250,Inactive,Dallas
TRK00057,4178,Mack,2015,1MV715049377005134,16/01/2017,6612,Diesel,150,Active,Denver
TRK00058,7026,Mack,2015,1VV866452895220495,10/08/2018,38924,Diesel,200,Active,Columbus
TRK00059,8218,Mack,2015,1VV316468431256116,03/12/2018,2200,Diesel,150,Active,Dallas
TRK00060,8564,Freightliner,2015,1NU436079292908621,16/05/2015,29257,Diesel,250,Active,Kansas City
TRK00061,5616,International,2018,1NU425390034513228,16/05/2021,39176,Diesel,200,Active,Kansas City
TRK00062,7256,Mack,2017,1NV650570590608475,21/01/2018,44041,Diesel,200,Active,Seattle
TRK00063,9239,Peterbilt,2015,1VU731052452964922,24/04/2016,46090,Diesel,200,Active,Portland
TRK00064,9641,Kenworth,2020,1VU745675841954861,04/03/2021,3190,Diesel,200,Active,Atlanta
TRK00065,7859,Freightliner,2015,1MU488586386042743,10/07/2018,16038,Diesel,250,Active,Detroit
TRK00066,3655,Peterbilt,2015,1NU423840714792581,28/10/2016,48532,Diesel,250,Maintenance,Las Vegas
TRK00067,4271,International,2015,1FU598074146039095,07/12/2016,2899,Diesel,200,Active,Portland
TRK00068,3267,Peterbilt,2020,1VV340928248098898,31/07/2021,26362,Diesel,200,Active,Omaha
TRK00069,5096,Mack,2016,1NV883821060467126,13/05/2021,28767,Diesel,200,Active,Dallas
TRK00070,1854,Kenworth,2015,1VT793191010829814,13/11/2017,15357,Diesel,200,Active,Oklahoma City
TRK00071,8873,Mack,2017,1NT854162115475075,14/10/2018,35373,Diesel,250,Active,Columbus
TRK00072,7081,Volvo,2017,1NV159099750018373,21/02/2021,14238,Diesel,200,Active,Houston
TRK00073,2680,Mack,2016,1FU907674313580395,28/12/2020,49439,Diesel,200,Active,Memphis
TRK00074,9452,Volvo,2015,1MT967805362821388,08/02/2015,3699,Diesel,150,Active,Indianapolis
TRK00075,3042,Mack,2015,1NT719643369337760,05/05/2015,9183,Diesel,250,Inactive,Phoenix
TRK00076,5670,Kenworth,2015,1NU637560149881760,26/04/2016,33023,Diesel,200,Active,Nashville
TRK00077,2374,Kenworth,2015,1NU421346537524210,10/09/2017,18957,Diesel,200,Maintenance,Portland
TRK00078,3626,Freightliner,2015,1FT746416854486193,24/10/2016,15346,Diesel,150,Active,Phoenix
TRK00079,5469,Mack,2015,1NV914157173264203,30/06/2015,47940,Diesel,200,Active,New York
TRK00080,8361,Volvo,2015,1FT297919985452583,15/10/2015,37755,Diesel,200,Active,Miami
TRK00081,9410,Freightliner,2018,1FU657752132291004,17/07/2021,20899,Diesel,200,Inactive,Detroit
TRK00082,3414,Peterbilt,2015,1NV425914685665284,16/12/2016,37845,Diesel,150,Active,Miami
TRK00083,8167,Kenworth,2015,1FT739466077384341,05/08/2015,39185,Diesel,250,Active,Charlotte
TRK00084,2502,Freightliner,2015,1FU611549007005766,22/11/2019,44075,Diesel,150,Active,New York
TRK00085,4637,Kenworth,2015,1MT667695252589838,26/05/2018,21015,Diesel,250,Active,Dallas
TRK00086,8391,Freightliner,2015,1MU472314018835209,21/03/2015,15525,Diesel,150,Active,Phoenix
TRK00087,6727,Peterbilt,2015,1NV829905893174057,01/09/2016,19776,Diesel,150,Maintenance,Las Vegas
TRK00088,1436,Peterbilt,2015,1VV115857818975755,19/05/2016,9388,Diesel,200,Inactive,Miami
TRK00089,7797,International,2019,1VU859309706861616,24/04/2020,43267,Diesel,250,Active,Las Vegas
TRK00090,1872,Volvo,2017,1NT680153134413264,23/04/2021,34160,Diesel,250,Active,Detroit
TRK00091,7495,International,2015,1VT853515078943231,13/12/2016,14486,Diesel,250,Active,Charlotte
TRK00092,9224,Volvo,2015,1FT258316710836362,04/11/2020,27103,Diesel,250,Active,Dallas
TRK00093,7126,Peterbilt,2015,1MU379279972794550,25/02/2018,19693,Diesel,200,Active,Denver
TRK00094,4862,Freightliner,2015,1FU365172928294515,21/01/2021,18032,Diesel,200,Inactive,Miami
TRK00095,7326,Mack,2015,1MU471127926628434,06/05/2016,3994,Diesel,150,Active,Houston
